simulation_id,simulation_period,agent_id,agent_state,agent_seed
0,0,3,1,true
0,0,4,1,true
0,0,18,1,true
0,0,28,1,true
0,0,31,1,true
0,0,35,1,true
0,0,37,1,true
0,0,46,1,true
0,0,61,1,true
0,0,64,1,true
0,0,64,2,true
0,0,67,1,true
0,0,69,1,true
0,0,70,1,true
0,0,80,1,true
0,0,80,2,true
0,0,81,1,true
0,0,82,1,true
0,0,82,2,true
0,0,83,1,true
0,0,86,1,true
0,0,95,1,true
0,0,96,1,true
0,0,99,1,true
0,0,100,1,true
0,0,100,2,true
0,0,102,1,true
0,0,108,1,true
0,0,109,1,true
0,0,112,1,true
0,0,113,1,true
0,0,118,1,true
0,0,120,1,true
0,0,121,1,true
0,0,123,1,true
0,0,124,1,true
0,0,124,2,true
0,0,125,1,true
0,0,129,1,true
0,0,129,2,true
0,0,130,1,true
0,0,132,1,true
0,0,133,1,true
0,0,134,1,true
0,0,142,1,true
0,0,147,1,true
0,0,162,1,true
0,0,165,1,true
0,0,165,2,true
0,0,168,1,true
0,0,168,2,true
0,0,182,1,true
0,0,184,1,true
0,0,194,1,true
0,0,202,1,true
0,0,206,1,true
0,0,211,1,true
0,0,212,1,true
0,0,217,1,true
0,0,217,2,true
0,0,223,1,true
0,0,228,1,true
0,0,233,1,true
0,0,240,1,true
0,0,240,2,true
0,0,245,1,true
0,0,247,1,true
0,0,251,1,true
0,0,260,1,true
0,0,262,1,true
0,0,269,1,true
0,0,280,1,true
0,0,287,1,true
0,0,290,1,true
0,0,293,1,true
0,0,293,2,true
0,0,299,1,true
0,0,301,1,true
0,0,302,1,true
0,0,304,1,true
0,0,306,1,true
0,0,310,1,true
0,0,325,1,true
0,0,327,1,true
0,0,332,1,true
0,0,335,1,true
0,0,336,1,true
0,0,346,1,true
0,0,349,1,true
0,0,352,1,true
0,0,355,1,true
0,0,356,1,true
0,0,356,2,true
0,0,360,1,true
0,0,365,1,true
0,0,370,1,true
0,0,370,2,true
0,0,371,1,true
0,0,384,1,true
0,0,393,1,true
0,0,394,1,true
0,0,404,1,true
0,0,416,1,true
0,0,420,1,true
0,0,422,1,true
0,0,427,1,true
0,0,430,1,true
0,0,430,2,true
0,0,433,1,true
0,0,440,1,true
0,0,442,1,true
0,0,443,1,true
0,0,447,1,true
0,0,459,1,true
0,0,463,1,true
0,0,466,1,true
0,0,467,1,true
0,0,467,2,true
0,0,470,1,true
0,0,471,1,true
0,0,478,1,true
0,0,486,1,true
0,1,8964,1,false
0,1,4234,1,false
0,1,6047,1,false
0,1,6332,1,false
0,1,7926,1,false
0,1,8722,1,false
0,1,5352,1,false
0,1,8995,1,false
0,1,9655,1,false
0,1,5590,1,false
0,1,2359,1,false
0,1,2359,2,false
0,1,3930,1,false
0,1,7950,1,false
0,1,3346,1,false
0,1,4819,1,false
0,1,4819,2,false
0,1,1824,1,false
0,1,1824,2,false
0,1,6357,1,false
0,1,6357,2,false
0,1,8581,1,false
0,1,6695,1,false
0,1,419,1,true
0,1,6143,1,false
0,1,4574,1,false
0,1,410,1,true
0,1,64,-1,true
0,1,3146,1,false
0,1,3184,1,false
0,1,3184,2,false
0,1,8219,1,false
0,1,8219,2,false
0,1,8145,1,false
0,1,2185,1,false
0,1,5243,1,false
0,1,5243,2,false
0,1,3111,1,false
0,1,6895,1,false
0,1,6895,2,false
0,1,3548,1,false
0,1,2485,1,false
0,1,7234,1,false
0,1,7234,2,false
0,1,543,1,false
0,1,3223,1,false
0,1,7387,1,false
0,1,4602,1,false
0,1,4993,1,false
0,1,4993,2,false
0,1,7064,1,false
0,1,3689,1,false
0,1,8382,1,false
0,1,5438,1,false
0,1,5438,2,false
0,1,278,1,true
0,1,5477,1,false
0,1,6931,1,false
0,1,1054,1,false
0,1,1054,2,false
0,1,2730,1,false
0,1,12,1,true
0,1,9824,1,false
0,1,80,-1,true
0,1,9870,1,false
0,1,9870,2,false
0,1,4005,1,false
0,1,4005,2,false
0,1,8294,1,false
0,1,8294,2,false
0,1,4505,1,false
0,1,4505,2,false
0,1,1998,1,false
0,1,175,1,true
0,1,9248,1,false
0,1,9190,1,false
0,1,9190,2,false
0,1,3028,1,false
0,1,1473,1,false
0,1,1473,2,false
0,1,6997,1,false
0,1,8769,1,false
0,1,2430,1,false
0,1,7569,1,false
0,1,7569,2,false
0,1,5655,1,false
0,1,5655,2,false
0,1,7058,1,false
0,1,5445,1,false
0,1,4877,1,false
0,1,7498,1,false
0,1,7498,2,false
0,1,6887,1,false
0,1,2337,1,false
0,1,3769,1,false
0,1,7699,1,false
0,1,1277,1,false
0,1,1515,1,false
0,1,6502,1,false
0,1,82,-1,true
0,1,5575,1,false
0,1,5575,2,false
0,1,4816,1,false
0,1,2419,1,false
0,1,4781,1,false
0,1,4781,2,false
0,1,8324,1,false
0,1,6486,1,false
0,1,8487,1,false
0,1,4550,1,false
0,1,9337,1,false
0,1,4647,1,false
0,1,1864,1,false
0,1,9764,1,false
0,1,4420,1,false
0,1,781,1,false
0,1,8222,1,false
0,1,5869,1,false
0,1,5869,2,false
0,1,3292,1,false
0,1,3292,2,false
0,1,3371,1,false
0,1,3371,2,false
0,1,3476,1,false
0,1,8521,1,false
0,1,5014,1,false
0,1,6733,1,false
0,1,6733,2,false
0,1,9704,1,false
0,1,1796,1,false
0,1,9896,1,false
0,1,9896,2,false
0,1,8717,1,false
0,1,6729,1,false
0,1,6729,2,false
0,1,5036,1,false
0,1,1879,1,false
0,1,5584,1,false
0,1,5584,2,false
0,1,5407,1,false
0,1,1834,1,false
0,1,100,-1,true
0,1,1068,1,false
0,1,1068,2,false
0,1,540,1,false
0,1,4426,1,false
0,1,5254,1,false
0,1,7983,1,false
0,1,7291,1,false
0,1,6109,1,false
0,1,6109,2,false
0,1,3912,1,false
0,1,6311,1,false
0,1,7613,1,false
0,1,3433,1,false
0,1,3433,2,false
0,1,4778,1,false
0,1,8554,1,false
0,1,8787,1,false
0,1,8787,2,false
0,1,4649,1,false
0,1,5359,1,false
0,1,4206,1,false
0,1,6059,1,false
0,1,9579,1,false
0,1,7363,1,false
0,1,8874,1,false
0,1,6573,1,false
0,1,2670,1,false
0,1,7549,1,false
0,1,2909,1,false
0,1,124,-1,true
0,1,3695,1,false
0,1,7772,1,false
0,1,7772,2,false
0,1,3046,1,false
0,1,3046,2,false
0,1,6172,1,false
0,1,7585,1,false
0,1,7585,2,false
0,1,5790,1,false
0,1,922,1,false
0,1,8825,1,false
0,1,9613,1,false
0,1,6021,1,false
0,1,4962,1,false
0,1,1630,1,false
0,1,5602,1,false
0,1,1434,1,false
0,1,967,1,false
0,1,5229,1,false
0,1,5229,2,false
0,1,3084,1,false
0,1,980,1,false
0,1,980,2,false
0,1,242,1,true
0,1,1244,1,false
0,1,4384,1,false
0,1,129,-1,true
0,1,3816,1,false
0,1,7246,1,false
0,1,3898,1,false
0,1,3898,2,false
0,1,6528,1,false
0,1,8378,1,false
0,1,3375,1,false
0,1,3375,2,false
0,1,6703,1,false
0,1,9066,1,false
0,1,9066,2,false
0,1,5593,1,false
0,1,3218,1,false
0,1,5136,1,false
0,1,5136,2,false
0,1,8435,1,false
0,1,4942,1,false
0,1,2478,1,false
0,1,2478,2,false
0,1,4402,1,false
0,1,823,1,false
0,1,6223,1,false
0,1,6223,2,false
0,1,5069,1,false
0,1,5069,2,false
0,1,3963,1,false
0,1,2845,1,false
0,1,4477,1,false
0,1,4477,2,false
0,1,1080,1,false
0,1,7445,1,false
0,1,5878,1,false
0,1,4694,1,false
0,1,4694,2,false
0,1,7918,1,false
0,1,8356,1,false
0,1,165,-1,true
0,1,8035,1,false
0,1,8515,1,false
0,1,2217,1,false
0,1,605,1,false
0,1,4326,1,false
0,1,2449,1,false
0,1,5874,1,false
0,1,5874,2,false
0,1,2389,1,false
0,1,5710,1,false
0,1,3782,1,false
0,1,7751,1,false
0,1,9040,1,false
0,1,6994,1,false
0,1,5908,1,false
0,1,6822,1,false
0,1,1487,1,false
0,1,1487,2,false
0,1,5752,1,false
0,1,3833,1,false
0,1,5793,1,false
0,1,9528,1,false
0,1,926,1,false
0,1,7269,1,false
0,1,259,1,true
0,1,458,1,true
0,1,458,2,true
0,1,6840,1,false
0,1,1780,1,false
0,1,6552,1,false
0,1,6377,1,false
0,1,168,-1,true
0,1,2639,1,false
0,1,2639,2,false
0,1,2872,1,false
0,1,1234,1,false
0,1,1234,2,false
0,1,5323,1,false
0,1,8010,1,false
0,1,8010,2,false
0,1,887,1,false
0,1,993,1,false
0,1,993,2,false
0,1,6127,1,false
0,1,6127,2,false
0,1,9083,1,false
0,1,699,1,false
0,1,699,2,false
0,1,6216,1,false
0,1,4488,1,false
0,1,5366,1,false
0,1,1847,1,false
0,1,208,1,true
0,1,3027,1,false
0,1,8309,1,false
0,1,9376,1,false
0,1,13,1,true
0,1,4719,1,false
0,1,5437,1,false
0,1,1916,1,false
0,1,4973,1,false
0,1,2379,1,false
0,1,5194,1,false
0,1,217,-1,true
0,1,9598,1,false
0,1,8775,1,false
0,1,4483,1,false
0,1,6431,1,false
0,1,7381,1,false
