simulation_id,simulation_period,agent_id,agent_state,agent_seed
0,0,1,1,true
0,0,7,1,true
0,0,9,1,true
0,0,12,1,true
0,0,12,2,true
0,0,17,1,true
0,0,24,1,true
0,0,25,1,true
0,0,28,1,true
0,0,28,2,true
0,0,33,1,true
0,0,37,1,true
0,0,42,1,true
0,0,43,1,true
0,0,43,2,true
0,0,51,1,true
0,0,51,2,true
0,0,57,1,true
0,0,57,2,true
0,0,59,1,true
0,0,61,1,true
0,0,62,1,true
0,0,63,1,true
0,0,68,1,true
0,0,69,1,true
0,0,70,1,true
0,0,73,1,true
0,0,76,1,true
0,0,82,1,true
0,0,89,1,true
0,0,94,1,true
0,0,96,1,true
0,0,96,2,true
0,0,110,1,true
0,0,112,1,true
0,0,119,1,true
0,0,120,1,true
0,0,124,1,true
0,0,129,1,true
0,0,131,1,true
0,0,133,1,true
0,0,133,2,true
0,0,140,1,true
0,0,150,1,true
0,0,153,1,true
0,0,165,1,true
0,0,167,1,true
0,0,172,1,true
0,0,175,1,true
0,0,176,1,true
0,0,179,1,true
0,0,201,1,true
0,0,201,2,true
0,0,212,1,true
0,0,218,1,true
0,0,222,1,true
0,0,227,1,true
0,0,228,1,true
0,0,231,1,true
0,0,241,1,true
0,0,242,1,true
0,0,251,1,true
0,0,253,1,true
0,0,259,1,true
0,0,267,1,true
0,0,268,1,true
0,0,273,1,true
0,0,274,1,true
0,0,276,1,true
0,0,280,1,true
0,0,284,1,true
0,0,286,1,true
0,0,297,1,true
0,0,299,1,true
0,0,300,1,true
0,0,301,1,true
0,0,304,1,true
0,0,310,1,true
0,0,315,1,true
0,0,319,1,true
0,0,324,1,true
0,0,329,1,true
0,0,330,1,true
0,0,339,1,true
0,0,339,2,true
0,0,341,1,true
0,0,343,1,true
0,0,347,1,true
0,0,349,1,true
0,0,353,1,true
0,0,367,1,true
0,0,370,1,true
0,0,397,1,true
0,0,397,2,true
0,0,404,1,true
0,0,405,1,true
0,0,412,1,true
0,0,413,1,true
0,0,419,1,true
0,0,420,1,true
0,0,424,1,true
0,0,430,1,true
0,0,430,2,true
0,0,438,1,true
0,0,442,1,true
0,0,445,1,true
0,0,448,1,true
0,0,452,1,true
0,0,453,1,true
0,0,453,2,true
0,0,460,1,true
0,0,462,1,true
0,0,462,2,true
0,0,466,1,true
0,0,466,2,true
0,0,469,1,true
0,0,471,1,true
0,0,481,1,true
0,0,486,1,true
0,0,488,1,true
0,0,488,2,true
0,0,496,1,true
0,0,497,1,true
0,0,497,2,true
0,1,5699,1,false
0,1,4202,1,false
0,1,4202,2,false
0,1,9702,1,false
0,1,9702,2,false
0,1,5332,1,false
0,1,3404,1,false
0,1,8321,1,false
0,1,687,1,false
0,1,3097,1,false
0,1,6817,1,false
0,1,6871,1,false
0,1,6871,2,false
0,1,7283,1,false
0,1,4278,1,false
0,1,9092,1,false
0,1,1957,1,false
0,1,1957,2,false
0,1,3661,1,false
0,1,1614,1,false
0,1,577,1,false
0,1,2112,1,false
0,1,2569,1,false
0,1,9520,1,false
0,1,5598,1,false
0,1,5423,1,false
0,1,7412,1,false
0,1,8390,1,false
0,1,5726,1,false
0,1,5726,2,false
0,1,7705,1,false
0,1,5800,1,false
0,1,12,-1,true
0,1,7925,1,false
0,1,6703,1,false
0,1,1050,1,false
0,1,1050,2,false
0,1,4033,1,false
0,1,6452,1,false
0,1,2729,1,false
0,1,7221,1,false
0,1,825,1,false
0,1,776,1,false
0,1,776,2,false
0,1,8102,1,false
0,1,8102,2,false
0,1,2206,1,false
0,1,2206,2,false
0,1,1748,1,false
0,1,6215,1,false
0,1,1096,1,false
0,1,2787,1,false
0,1,2787,2,false
0,1,116,1,true
0,1,8641,1,false
0,1,854,1,false
0,1,2926,1,false
0,1,1679,1,false
0,1,9363,1,false
0,1,6962,1,false
0,1,6962,2,false
0,1,6339,1,false
0,1,6339,2,false
0,1,8568,1,false
0,1,8568,2,false
0,1,9537,1,false
0,1,1991,1,false
0,1,9659,1,false
0,1,4709,1,false
0,1,2170,1,false
0,1,7900,1,false
0,1,28,-1,true
0,1,3026,1,false
0,1,676,1,false
0,1,3325,1,false
0,1,6711,1,false
0,1,5532,1,false
0,1,2717,1,false
0,1,6433,1,false
0,1,6433,2,false
0,1,8682,1,false
0,1,1715,1,false
0,1,1715,2,false
0,1,4815,1,false
0,1,1135,1,false
0,1,3162,1,false
0,1,1982,1,false
0,1,1982,2,false
0,1,9122,1,false
0,1,4583,1,false
0,1,4034,1,false
0,1,4034,2,false
0,1,901,1,false
0,1,909,1,false
0,1,6527,1,false
0,1,2153,1,false
0,1,3070,1,false
0,1,2451,1,false
0,1,4576,1,false
0,1,3548,1,false
0,1,6234,1,false
0,1,2903,1,false
0,1,295,1,true
0,1,43,-1,true
0,1,9868,1,false
0,1,4157,1,false
0,1,2518,1,false
0,1,2994,1,false
