simulation_id,simulation_period,agent_id,agent_state,agent_seed
0,0,2,1,true
0,0,6,1,true
0,0,16,1,true
0,0,21,1,true
0,0,30,1,true
0,0,41,1,true
0,0,43,1,true
0,0,45,1,true
0,0,50,1,true
0,0,55,1,true
0,0,55,2,true
0,0,59,1,true
0,0,61,1,true
0,0,67,1,true
0,0,67,2,true
0,0,81,1,true
0,0,88,1,true
0,0,88,2,true
0,0,92,1,true
0,0,105,1,true
0,0,105,2,true
0,0,123,1,true
0,0,125,1,true
0,0,126,1,true
0,0,144,1,true
0,0,147,1,true
0,0,159,1,true
0,0,160,1,true
0,0,161,1,true
0,0,164,1,true
0,0,166,1,true
0,0,173,1,true
0,0,183,1,true
0,0,186,1,true
0,0,192,1,true
0,0,194,1,true
0,0,201,1,true
0,0,201,2,true
0,0,203,1,true
0,0,203,2,true
0,0,209,1,true
0,0,211,1,true
0,0,221,1,true
0,0,222,1,true
0,0,223,1,true
0,0,225,1,true
0,0,227,1,true
0,0,237,1,true
0,0,246,1,true
0,0,247,1,true
0,0,247,2,true
0,0,250,1,true
0,0,258,1,true
0,0,260,1,true
0,0,267,1,true
0,0,268,1,true
0,0,271,1,true
0,0,274,1,true
0,0,278,1,true
0,0,280,1,true
0,0,281,1,true
0,0,286,1,true
0,0,286,2,true
0,0,287,1,true
0,0,294,1,true
0,0,300,1,true
0,0,303,1,true
0,0,311,1,true
0,0,313,1,true
0,0,314,1,true
0,0,316,1,true
0,0,318,1,true
0,0,318,2,true
0,0,350,1,true
0,0,354,1,true
0,0,354,2,true
0,0,355,1,true
0,0,368,1,true
0,0,368,2,true
0,0,370,1,true
0,0,371,1,true
0,0,375,1,true
0,0,385,1,true
0,0,385,2,true
0,0,396,1,true
0,0,398,1,true
0,0,398,2,true
0,0,401,1,true
0,0,402,1,true
0,0,403,1,true
0,0,404,1,true
0,0,407,1,true
0,0,416,1,true
0,0,427,1,true
0,0,434,1,true
0,0,439,1,true
0,0,441,1,true
0,0,447,1,true
0,0,447,2,true
0,0,465,1,true
0,0,470,1,true
0,0,479,1,true
0,0,485,1,true
0,0,487,1,true
0,0,489,1,true
0,0,490,1,true
0,0,491,1,true
0,0,491,2,true
0,0,496,1,true
0,0,496,2,true
0,1,7618,1,false
0,1,8649,1,false
0,1,8649,2,false
0,1,6693,1,false
0,1,7488,1,false
0,1,836,1,false
0,1,2112,1,false
0,1,6467,1,false
0,1,1868,1,false
0,1,1969,1,false
0,1,5947,1,false
0,1,865,1,false
0,1,3840,1,false
0,1,1201,1,false
0,1,578,1,false
0,1,2352,1,false
0,1,7193,1,false
0,1,806,1,false
0,1,806,2,false
0,1,9522,1,false
0,1,8654,1,false
0,1,5752,1,false
0,1,4314,1,false
0,1,4314,2,false
0,1,7333,1,false
0,1,7333,2,false
0,1,9895,1,false
0,1,7162,1,false
0,1,8730,1,false
0,1,7509,1,false
0,1,7509,2,false
0,1,3521,1,false
0,1,4335,1,false
0,1,4335,2,false
0,1,9946,1,false
0,1,6134,1,false
0,1,8243,1,false
0,1,8243,2,false
0,1,4378,1,false
0,1,55,-1,true
0,1,3119,1,false
0,1,3119,2,false
0,1,8283,1,false
0,1,8399,1,false
0,1,9060,1,false
0,1,9060,2,false
0,1,3243,1,false
0,1,4269,1,false
0,1,4124,1,false
0,1,8587,1,false
0,1,5902,1,false
0,1,1153,1,false
0,1,3918,1,false
0,1,3918,2,false
0,1,8641,1,false
0,1,6771,1,false
0,1,5962,1,false
0,1,5962,2,false
0,1,8156,1,false
0,1,2510,1,false
0,1,4178,1,false
0,1,6058,1,false
0,1,6058,2,false
0,1,9143,1,false
0,1,4666,1,false
0,1,4666,2,false
0,1,4456,1,false
0,1,4456,2,false
0,1,1655,1,false
0,1,67,-1,true
0,1,6571,1,false
0,1,6571,2,false
0,1,8881,1,false
0,1,688,1,false
0,1,1507,1,false
0,1,1507,2,false
0,1,7794,1,false
0,1,42,1,true
0,1,42,2,true
0,1,3523,1,false
0,1,3523,2,false
0,1,7859,1,false
0,1,8979,1,false
0,1,7479,1,false
0,1,3727,1,false
0,1,3487,1,false
0,1,8539,1,false
0,1,3454,1,false
0,1,5535,1,false
0,1,9711,1,false
0,1,8083,1,false
0,1,8961,1,false
0,1,6390,1,false
0,1,7355,1,false
0,1,6522,1,false
0,1,4020,1,false
0,1,6287,1,false
0,1,3642,1,false
0,1,5158,1,false
0,1,5158,2,false
0,1,8874,1,false
0,1,4083,1,false
0,1,5756,1,false
0,1,40,1,true
0,1,5843,1,false
0,1,3705,1,false
0,1,88,-1,true
0,1,8004,1,false
0,1,5762,1,false
0,1,8268,1,false
0,1,3110,1,false
0,1,1629,1,false
0,1,1629,2,false
0,1,4992,1,false
0,1,8485,1,false
0,1,3139,1,false
0,1,9355,1,false
0,1,6160,1,false
0,1,2930,1,false
0,1,1894,1,false
0,1,2374,1,false
0,1,8735,1,false
0,1,1855,1,false
0,1,771,1,false
0,1,6871,1,false
0,1,6871,2,false
0,1,2912,1,false
0,1,2912,2,false
0,1,1749,1,false
0,1,8530,1,false
0,1,8530,2,false
0,1,7573,1,false
0,1,8355,1,false
0,1,4614,1,false
0,1,815,1,false
0,1,3865,1,false
0,1,6552,1,false
0,1,6077,1,false
0,1,105,-1,true
0,1,6052,1,false
0,1,6052,2,false
0,1,7924,1,false
0,1,9702,1,false
0,1,2867,1,false
0,1,6487,1,false
0,1,9621,1,false
0,1,3814,1,false
0,1,6010,1,false
0,1,7372,1,false
0,1,608,1,false
